post_title,post_name,post_excerpt,post_content,post_status,manage_stock,comment_status,regular_price,featured_image,product_gallery
Gyoza,Gyoza,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Gyoza-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Gyoza-copy.png
Halibut Fillet,Halibut-Fillet,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Halibut-Fillet-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Halibut-Fillet-copy.png
Hamachi Kama,Hamachi-Kama,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hamachi-Kama.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hamachi-Kama.png
Hokke Hiraki 1,Hokke-Hiraki-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokke-Hiraki-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokke-Hiraki-1-copy.png
Hokki Kai,Hokki-Kai,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokki-Kai-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokki-Kai-copy.png
Hokuou Wasabi,Hokuou-Wasabi,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokuou-Wasabi-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hokuou-Wasabi-copy.png
Hotaru with Ginger,Hotaru-with-Ginger,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotaru-with-Ginger-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotaru-with-Ginger-copy.png
Hotate Fumi Fry,Hotate-Fumi-Fry,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotate-Fumi-Fry-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotate-Fumi-Fry-copy.png
Hotate Katagai,Hotate-Katagai,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotate-Katagai-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Hotate-Katagai-copy.png
Ichijiku Compote,Ichijiku-Compote,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ichijiku-Compote-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ichijiku-Compote-copy.png
Ika Shiokara,Ika-Shiokara,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ika-Shiokara-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ika-Shiokara-copy.png
Ikura Ajisuki,Ikura-Ajisuki,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Ajisuki-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Ajisuki-copy.png
Ikura Hokkaido 1,Ikura-Hokkaido-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Hokkaido-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Hokkaido-1-copy.png
Ikura Hokkaido,Ikura-Hokkaido,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Hokkaido-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Ikura-Hokkaido-copy.png
Imitation Crab ORANGE  1,Imitation-Crab-ORANGE--1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-ORANGE--1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-ORANGE--1-copy.png
Imitation Crab ORANGE,Imitation-Crab-ORANGE,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-ORANGE-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-ORANGE-copy.png
Imitation Crab RED 1,Imitation-Crab-RED-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-RED-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-RED-1-copy.png
Imitation Crab RED,Imitation-Crab-RED,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-RED-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Crab-RED-copy.png
Imitation Hotate,Imitation-Hotate,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Hotate-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Imitation-Hotate-copy.png
Inari,Inari,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Inari-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Inari-copy.png
Isogai with Spicy Miso Mayonnaise,Isogai-with-Spicy-Miso-Mayonnaise,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Isogai-with-Spicy-Miso-Mayonnaise-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Isogai-with-Spicy-Miso-Mayonnaise-copy.png
Iwatako Cut 2 3 g,Iwatako-Cut-2-3-g,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Iwatako-Cut-2-3-g-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Iwatako-Cut-2-3-g-copy.png
Kabayaki Cuttlefish,Kabayaki-Cuttlefish,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kabayaki-Cuttlefish-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kabayaki-Cuttlefish-copy.png
Kaki Shigureni,Kaki-Shigureni,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kaki-Shigureni-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kaki-Shigureni-copy.png
Kaki Size M,Kaki-Size-M,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kaki-Size-M-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kaki-Size-M-copy.png
Kamaboko Red,Kamaboko-Red,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kamaboko-Red-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kamaboko-Red-copy.png
Kamaboko White,Kamaboko-White,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,100,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kamaboko-White-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kamaboko-White-copy.png
Kani Kama Isobeage Cheese,Kani-Kama-Isobeage-Cheese,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kani-Kama-Isobeage-Cheese-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kani-Kama-Isobeage-Cheese-copy.png
Kanimiso,Kanimiso,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kanimiso-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kanimiso-copy.png
Karashi Mentaiko 1 kg 1,Karashi-Mentaiko-1-kg-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-1-kg-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-1-kg-1-copy.png
Karashi Mentaiko 1 kg,Karashi-Mentaiko-1-kg,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-1-kg-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-1-kg-copy.png
Karashi Mentaiko 500g,Karashi-Mentaiko-500g,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,150,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-500g-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Karashi-Mentaiko-500g-copy.png
Katsuo Tataki,Katsuo-Tataki,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Katsuo-Tataki-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Katsuo-Tataki-copy.png
Katsuo Umeboshi 1,Katsuo-Umeboshi-1,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,300,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Katsuo-Umeboshi-1-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Katsuo-Umeboshi-1-copy.png
Kuri Kanro,Kuri-Kanro,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,no,open,200,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kuri-Kanro-copy.png,http://demo.foodbusiness.co.th/wp-content/uploads/ebisu-prod-v1/Kuri-Kanro-copy.png
